public_date,UNH,GS,HD,MSFT,MCD,AMGN,CAT,MA,HON,CRM,TRV,JNJ,CVX,AXP,AAPL,MMM,PG,IBM,BA,JPM,WMT,NKE,DIS,MRK,DD,KO,T,CSCO,INTC,WBA
2016-01-31,0.332,0.987,0.054,0.225,0.11,0.298,0.418,0.063,0.25,0.092,0.794,0.291,1.191,0.292,0.233,0.14,0.367,0.095,0.077,0.979,0.433,0.119,0.286,0.372,0.263,0.179,0.872,0.409,0.418,0.373
2016-02-29,0.334,0.949,0.054,0.18,0.082,0.248,0.383,0.056,0.236,0.092,0.707,0.26,1.024,0.283,0.257,0.134,0.331,0.109,0.091,0.916,0.433,0.119,0.268,0.349,0.174,0.163,0.846,0.409,0.391,0.373
2016-03-31,0.334,0.949,0.046,0.18,0.082,0.248,0.383,0.056,0.236,0.11,0.707,0.26,1.024,0.283,0.257,0.134,0.331,0.109,0.091,0.916,0.4,0.119,0.268,0.349,0.174,0.163,0.846,0.506,0.391,0.373
2016-04-30,0.334,0.949,0.046,0.18,0.082,0.248,0.383,0.056,0.236,0.11,0.707,0.26,1.024,0.283,0.257,0.134,0.331,0.109,0.091,0.916,0.4,0.119,0.268,0.349,0.174,0.163,0.846,0.506,0.391,0.383
2016-05-31,0.311,1.102,0.046,0.178,0.05,0.274,0.351,0.053,0.22,0.11,0.711,0.254,0.945,0.355,0.257,0.116,0.313,0.103,0.078,1.035,0.4,0.119,0.285,0.342,0.191,0.146,0.75,0.506,0.409,0.383
2016-06-30,0.311,1.102,0.04,0.178,0.05,0.274,0.351,0.053,0.22,0.109,0.711,0.254,0.945,0.355,0.257,0.116,0.313,0.103,0.078,1.035,0.36,0.119,0.285,0.342,0.191,0.146,0.75,0.451,0.409,0.383
2016-07-31,0.311,1.102,0.04,0.178,0.05,0.274,0.351,0.053,0.22,0.109,0.711,0.254,0.945,0.355,0.257,0.116,0.313,0.103,0.078,1.035,0.36,0.132,0.285,0.342,0.191,0.146,0.75,0.451,0.409,0.405
2016-08-31,0.292,1.189,0.04,0.184,0.022,0.287,0.344,0.061,0.221,0.109,0.731,0.227,0.837,0.369,0.293,0.112,0.29,0.108,0.037,1.008,0.36,0.132,0.29,0.31,0.186,0.159,0.683,0.451,0.404,0.405
2016-09-30,0.292,1.189,0.041,0.184,0.022,0.287,0.344,0.061,0.221,0.109,0.731,0.227,0.837,0.369,0.293,0.112,0.29,0.108,0.037,1.008,0.339,0.132,0.29,0.31,0.186,0.159,0.683,0.416,0.404,0.405
2016-10-31,0.292,1.189,0.041,0.184,0.022,0.287,0.344,0.061,0.221,0.109,0.731,0.227,0.837,0.369,0.293,0.112,0.29,0.108,0.037,1.008,0.339,0.127,0.29,0.31,0.186,0.159,0.683,0.416,0.404,0.372
2016-11-30,0.301,1.124,0.041,0.16,0.082,0.267,0.301,0.057,0.224,0.109,0.756,0.236,0.847,0.358,0.256,0.113,0.279,0.113,0.053,0.958,0.339,0.127,0.317,0.291,0.17,0.166,0.735,0.416,0.36,0.372
2016-12-31,0.301,1.124,0.039,0.16,0.082,0.267,0.301,0.057,0.224,0.13,0.756,0.236,0.847,0.358,0.256,0.113,0.279,0.113,0.053,0.958,0.36,0.127,0.317,0.291,0.17,0.166,0.735,0.411,0.36,0.372
2017-01-31,0.301,1.124,0.039,0.16,0.082,0.267,0.301,0.057,0.224,0.13,0.756,0.236,0.847,0.358,0.256,0.113,0.279,0.113,0.053,0.958,0.36,0.149,0.317,0.291,0.17,0.166,0.735,0.411,0.36,0.348
2017-02-28,0.269,0.762,0.039,0.146,0.15923529411764706,0.299,0.246,0.051,0.225,0.13,0.678,0.235,0.732,0.282,0.262,0.098,0.288,0.119,0.022,0.743,0.36,0.149,0.282,0.279,0.16,0.151,0.702,0.411,0.396,0.348
2017-03-31,0.269,0.762,0.028,0.146,0.15923529411764706,0.299,0.246,0.051,0.225,0.134,0.678,0.235,0.732,0.282,0.262,0.098,0.288,0.119,0.022,0.743,0.404,0.149,0.282,0.279,0.16,0.151,0.702,0.415,0.396,0.348
2017-04-30,0.269,0.762,0.028,0.146,0.15923529411764706,0.299,0.246,0.051,0.225,0.134,0.678,0.235,0.732,0.282,0.262,0.098,0.288,0.119,0.022,0.743,0.404,0.135,0.282,0.279,0.16,0.151,0.702,0.415,0.396,0.347
2017-05-31,0.283,0.805,0.028,0.138,0.15923529411764706,0.273,0.249,0.047,0.218,0.134,0.701,0.219,0.806,0.296,0.217,0.096,0.273,0.112,0.013,0.736,0.404,0.135,0.263,0.257,0.166,0.148,0.724,0.415,0.407,0.347
2017-06-30,0.283,0.805,0.022,0.138,0.15923529411764706,0.273,0.249,0.047,0.218,0.129,0.701,0.219,0.806,0.296,0.217,0.096,0.273,0.112,0.013,0.736,0.324,0.135,0.263,0.257,0.166,0.148,0.724,0.384,0.407,0.347
2017-07-31,0.283,0.805,0.022,0.138,0.15923529411764706,0.273,0.249,0.047,0.218,0.129,0.701,0.219,0.806,0.296,0.217,0.096,0.273,0.112,0.013,0.736,0.324,0.143,0.263,0.257,0.166,0.148,0.724,0.384,0.407,0.381
2017-08-31,0.257,0.844,0.022,0.137,0.15923529411764706,0.27,0.221,0.046,0.205,0.129,0.683,0.216,0.826,0.284,0.218,0.093,0.28,0.128,0.022,0.723,0.324,0.143,0.275,0.252,0.179,0.138,0.806,0.384,0.449,0.381
2017-09-30,0.257,0.844,0.021,0.137,0.15923529411764706,0.27,0.221,0.046,0.205,0.13,0.683,0.216,0.826,0.284,0.218,0.093,0.28,0.128,0.022,0.723,0.319,0.143,0.275,0.252,0.4039421487603305,0.138,0.806,0.424,0.449,0.381
2017-10-31,0.257,0.844,0.021,0.137,0.15923529411764706,0.27,0.221,0.046,0.205,0.13,0.683,0.216,0.826,0.284,0.218,0.093,0.28,0.128,0.022,0.723,0.319,0.139,0.275,0.252,0.4039421487603305,0.138,0.806,0.424,0.449,0.356
2017-11-30,0.253,0.804,0.021,0.165,0.15923529411764706,0.254,0.211,0.044,0.198,0.13,0.708,0.225,0.736,0.268,0.21,0.097,0.275,0.146,0.026,0.701,0.319,0.139,0.306,0.243,0.4039421487603305,0.138,0.787,0.424,0.415,0.356
2017-12-31,0.253,0.804,0.014,0.165,0.15923529411764706,0.254,0.211,0.044,0.198,0.119,0.708,0.225,0.736,0.268,0.21,0.097,0.275,0.146,0.026,0.701,0.294,0.139,0.306,0.243,0.4039421487603305,0.138,0.787,0.388,0.415,0.356
2018-01-31,0.253,0.804,0.014,0.165,0.15923529411764706,0.254,0.211,0.044,0.198,0.119,0.708,0.225,0.736,0.268,0.21,0.097,0.275,0.146,0.026,0.701,0.294,0.12,0.306,0.243,0.4039421487603305,0.138,0.787,0.388,0.415,0.392
2018-02-28,0.234,0.71,0.014,0.124,0.15923529411764706,0.21,0.148,0.035,0.175,0.119,0.645,0.183,0.683,0.195,0.164,0.084,0.261,0.128,0.013,0.638,0.294,0.12,0.286,0.241,0.4039421487603305,0.1,0.771,0.388,0.333,0.392
2018-03-31,0.234,0.71,0.008,0.124,0.15923529411764706,0.21,0.148,0.035,0.175,0.113,0.645,0.183,0.683,0.195,0.164,0.084,0.261,0.128,0.013,0.638,0.26,0.12,0.286,0.241,0.4039421487603305,0.1,0.771,0.257,0.333,0.392
2018-04-30,0.234,0.71,0.008,0.124,0.15923529411764706,0.21,0.148,0.035,0.175,0.113,0.645,0.183,0.683,0.195,0.164,0.084,0.261,0.128,0.013,0.638,0.26,0.09,0.286,0.241,0.4039421487603305,0.1,0.771,0.257,0.333,0.429
2018-05-31,0.242,0.741,0.008,0.116,0.15923529411764706,0.148,0.173,0.031,0.189,0.113,0.612,0.207,0.759,0.244,0.154,0.084,0.304,0.129,0.017,0.615,0.26,0.09,0.319,0.245,0.4039421487603305,0.119,0.874,0.257,0.296,0.429
2018-06-30,0.242,0.741,0.008,0.116,0.15923529411764706,0.148,0.173,0.031,0.189,0.125,0.612,0.207,0.759,0.244,0.154,0.084,0.304,0.129,0.017,0.615,0.289,0.09,0.319,0.245,0.4039421487603305,0.119,0.874,0.223,0.296,0.429
