public_date,AAPL,ABBV,ABT,ADBE,AIG,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2016-01-31,0.233,0.122,0.352,0.158,1.397,0.298,0.1774615384615385,0.052,0.2033953488372093,0.292,0.077,1.438,0.832,0.08625000000000001,0.669,0.153,1.391,0.418,0.085,0.009,0.607,1.229,0.972,0.153,0.092,0.409,0.398,1.191,0.263,0.396,0.286,1.096,0.294,1.437,0.52,0.383,0.248,0.436,0.123,0.721,0.269,0.987,0.054,0.25,0.095,0.418,0.291,0.979,0.917,0.179,0.164,0.044,0.124,0.063,0.11,0.525,0.3745322580645162,1.558,0.14,0.082,0.372,1.11,0.225,0.71,0.049,0.119,0.314,0.28,0.134,0.492,0.367,0.045810810810810815,0.349,0.387,0.6521176470588236,0.07,0.312,0.828,0.872,0.305,0.489,0.672,0.04,0.204,0.332,0.471,0.023,0.561,0.2,0.317,0.373,0.657,0.433,0.675
2016-02-29,0.257,0.097,0.333,0.158,1.218,0.248,0.1774615384615385,0.045,0.2033953488372093,0.283,0.091,1.339,0.855,0.08625000000000001,0.592,0.125,1.342,0.383,0.398578125,0.03960416666666667,0.623,1.242,0.88,0.153,0.092,0.409,0.396,1.024,0.174,0.371,0.268,1.077,0.253,1.549,0.521,0.383,0.252,0.336,0.129,0.782,0.225,0.949,0.054,0.236,0.109,0.391,0.26,0.916,0.896,0.163,0.164,0.047,0.124,0.056,0.082,0.462,0.3745322580645162,1.444,0.134,0.075,0.349,1.108,0.18,0.677,0.045,0.119,0.314,0.28,0.117,0.459,0.331,0.045810810810810815,0.337,0.405,0.6521176470588236,0.067,0.274,0.8,0.846,0.305,0.423,0.613,0.036,0.18,0.334,0.541,0.03,0.565,0.176,0.329,0.373,0.644,0.433,0.641
2016-03-31,0.257,0.097,0.333,0.158,1.218,0.248,0.1774615384615385,0.045,0.2033953488372093,0.283,0.091,1.339,0.855,0.08625000000000001,0.592,0.125,1.342,0.383,0.398578125,0.03960416666666667,0.623,1.242,0.88,0.153,0.11,0.506,0.396,1.024,0.174,0.371,0.268,1.077,0.253,1.549,0.521,0.383,0.252,0.336,0.129,0.782,0.225,0.949,0.046,0.236,0.109,0.391,0.26,0.916,0.896,0.163,0.164,0.047,0.117,0.056,0.082,0.462,0.3745322580645162,1.444,0.134,0.075,0.349,1.108,0.18,0.677,0.045,0.119,0.302,0.28,0.117,0.459,0.331,0.045810810810810815,0.337,0.405,0.6521176470588236,0.067,0.274,0.8,0.846,0.316,0.423,0.613,0.036,0.18,0.334,0.541,0.03,0.565,0.176,0.329,0.373,0.644,0.4,0.641
2016-04-30,0.257,0.097,0.333,0.172,1.218,0.248,0.1774615384615385,0.045,0.2033953488372093,0.283,0.091,1.339,0.855,0.08625000000000001,0.592,0.125,1.342,0.383,0.398578125,0.03960416666666667,0.623,1.242,0.88,0.167,0.11,0.506,0.396,1.024,0.174,0.371,0.268,1.077,0.253,1.549,0.521,0.446,0.252,0.336,0.129,0.782,0.225,0.949,0.046,0.236,0.109,0.391,0.26,0.916,0.896,0.163,0.164,0.047,0.117,0.056,0.082,0.462,0.3745322580645162,1.444,0.134,0.075,0.349,1.108,0.18,0.677,0.045,0.119,0.302,0.3,0.117,0.459,0.331,0.045810810810810815,0.337,0.405,0.6521176470588236,0.067,0.274,0.8,0.846,0.316,0.423,0.613,0.036,0.18,0.334,0.541,0.03,0.565,0.176,0.329,0.383,0.644,0.4,0.641
2016-05-31,0.257,0.109,0.337,0.172,1.448,0.274,0.1774615384615385,0.053,0.2033953488372093,0.355,0.078,1.71,0.905,0.08625000000000001,0.593,0.135,1.712,0.351,0.398578125,0.03960416666666667,0.583,1.338,0.991,0.167,0.11,0.506,0.359,0.945,0.191,0.375,0.285,0.957,0.233,1.306,0.562,0.446,0.266,0.312,0.108,0.868,0.237,1.102,0.046,0.22,0.103,0.409,0.254,1.035,0.835,0.146,0.189,0.047,0.117,0.053,0.05,0.521,0.3745322580645162,1.855,0.116,0.068,0.342,1.413,0.178,0.602,0.053,0.119,0.302,0.3,0.109,0.498,0.313,0.045810810810810815,0.292,0.395,0.6521176470588236,0.058,0.333,0.725,0.75,0.316,0.424,0.679,0.032,0.17,0.311,0.536,0.027,0.587,0.178,0.291,0.383,0.716,0.4,0.601
2016-06-30,0.257,0.109,0.337,0.172,1.448,0.274,0.1774615384615385,0.053,0.2033953488372093,0.355,0.078,1.71,0.905,0.08625000000000001,0.593,0.135,1.712,0.351,0.398578125,0.03960416666666667,0.583,1.338,0.991,0.167,0.109,0.451,0.359,0.945,0.191,0.375,0.285,0.957,0.233,1.306,0.562,0.446,0.266,0.312,0.108,0.868,0.237,1.102,0.04,0.22,0.103,0.409,0.254,1.035,0.835,0.146,0.189,0.047,0.106,0.053,0.05,0.521,0.3745322580645162,1.855,0.116,0.068,0.342,1.413,0.178,0.602,0.053,0.119,0.239,0.3,0.109,0.498,0.313,0.045810810810810815,0.292,0.395,0.6521176470588236,0.058,0.333,0.725,0.75,0.284,0.424,0.679,0.032,0.17,0.311,0.536,0.027,0.587,0.178,0.291,0.383,0.716,0.36,0.601
2016-07-31,0.257,0.109,0.337,0.151,1.448,0.274,0.1774615384615385,0.053,0.2033953488372093,0.355,0.078,1.71,0.905,0.08625000000000001,0.593,0.135,1.712,0.351,0.398578125,0.03960416666666667,0.583,1.338,0.991,0.176,0.109,0.451,0.359,0.945,0.191,0.375,0.285,0.957,0.233,1.306,0.562,0.349,0.266,0.312,0.108,0.868,0.237,1.102,0.04,0.22,0.103,0.409,0.254,1.035,0.835,0.146,0.189,0.047,0.106,0.053,0.05,0.521,0.3745322580645162,1.855,0.116,0.068,0.342,1.413,0.178,0.602,0.053,0.132,0.239,0.286,0.109,0.498,0.313,0.045810810810810815,0.292,0.395,0.6521176470588236,0.058,0.333,0.725,0.75,0.284,0.424,0.679,0.032,0.17,0.311,0.536,0.027,0.587,0.178,0.291,0.405,0.716,0.36,0.601
2016-08-31,0.293,0.127,0.358,0.151,1.571,0.287,0.1774615384615385,0.049,0.2033953488372093,0.369,0.037,1.784,0.868,0.08625000000000001,0.594,0.121,1.727,0.344,1.075,0.03960416666666667,0.557,1.497,0.874,0.176,0.109,0.451,0.383,0.837,0.186,0.359,0.29,0.904,0.249,1.294,0.635,0.349,0.261,0.301,0.14,0.964,0.266,1.189,0.04,0.221,0.108,0.404,0.227,1.008,0.731,0.159,0.168,0.04,0.106,0.061,0.022,0.458,0.3745322580645162,2.151,0.112,0.065,0.31,1.397,0.184,0.553,0.062,0.132,0.239,0.286,0.114,0.426,0.29,0.045810810810810815,0.314,0.388,0.6521176470588236,0.068,0.382,0.713,0.683,0.284,0.408,0.613,0.08,0.159,0.292,0.495,0.028,0.604,0.183,0.277,0.405,0.748,0.36,0.532
2016-09-30,0.293,0.127,0.358,0.151,1.571,0.287,0.1774615384615385,0.049,0.2033953488372093,0.369,0.037,1.784,0.868,0.08625000000000001,0.594,0.121,1.727,0.344,1.075,0.03960416666666667,0.557,1.497,0.874,0.176,0.109,0.416,0.383,0.837,0.186,0.359,0.29,0.904,0.249,1.294,0.635,0.349,0.261,0.301,0.14,0.964,0.266,1.189,0.041,0.221,0.108,0.404,0.227,1.008,0.731,0.159,0.168,0.04,0.095,0.061,0.022,0.458,0.3745322580645162,2.151,0.112,0.065,0.31,1.397,0.184,0.553,0.062,0.132,0.159,0.286,0.114,0.426,0.29,0.045810810810810815,0.314,0.388,0.6521176470588236,0.068,0.382,0.713,0.683,0.285,0.408,0.613,0.08,0.159,0.292,0.495,0.028,0.604,0.183,0.277,0.405,0.748,0.339,0.532
2016-10-31,0.293,0.127,0.358,0.148,1.571,0.287,0.1774615384615385,0.049,0.2033953488372093,0.369,0.037,1.784,0.868,0.08625000000000001,0.594,0.121,1.727,0.344,1.075,0.03960416666666667,0.557,1.497,0.874,0.175,0.109,0.416,0.383,0.837,0.186,0.359,0.29,0.904,0.249,1.294,0.635,0.363,0.261,0.301,0.14,0.964,0.266,1.189,0.041,0.221,0.108,0.404,0.227,1.008,0.731,0.159,0.168,0.04,0.095,0.061,0.022,0.458,0.3745322580645162,2.151,0.112,0.065,0.31,1.397,0.184,0.553,0.062,0.127,0.159,0.28,0.114,0.426,0.29,0.045810810810810815,0.314,0.388,0.6521176470588236,0.068,0.382,0.713,0.683,0.285,0.408,0.613,0.08,0.159,0.292,0.495,0.028,0.604,0.183,0.277,0.372,0.748,0.339,0.532
