,UNH,GS,HD,MSFT,MCD,AMGN,CAT,MA,HON,CRM,TRV,JNJ,CVX,AXP,AAPL,MMM,PG,IBM,BA,JPM,WMT,NKE,DIS,MRK,DD,KO,T,CSCO,INTC,WBA
2016-01-31,7.08,6.22,8.1,7.61,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.477671232876711,7.33,6.02,8.12,7.14,7.53,7.14,6.76,6.69,7.47,6.88,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-02-29,7.08,6.22,8.1,7.61,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.53,7.14,6.76,6.69,7.47,6.88,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-03-31,7.08,6.22,8.1,7.61,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.53,7.14,6.76,6.69,7.9,6.88,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-04-30,7.08,6.22,8.1,7.61,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.53,7.14,6.76,6.69,7.9,6.88,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-05-31,7.08,6.22,8.1,7.61,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.53,7.14,6.76,6.69,7.9,6.88,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-06-30,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-07-31,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.18,7.29,6.61,7.82,7.4,6.89,6.9,7.56
2016-08-31,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.12,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.18,7.29,6.61,7.82,7.4,6.79,6.9,7.84
2016-09-30,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.09,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.18,7.29,6.61,7.82,7.4,6.79,6.9,7.84
2016-10-31,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.09,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.18,7.29,6.61,7.82,7.4,6.79,6.9,7.84
2016-11-30,7.08,6.22,8.1,8.21,6.89,7.42,7.22,6.12,6.55,5.29,6.15,7.7,7.33,6.02,8.09,7.14,7.48,7.14,6.76,6.69,7.9,6.42,7.01,7.29,6.61,7.82,7.4,6.79,6.9,7.84
2016-12-31,6.93,6.55,7.95,8.21,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.7,7.87,5.77,8.09,7.19,7.48,7.14,7.4,6.5,7.9,6.42,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-01-31,6.93,6.55,7.95,8.21,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.48,7.14,7.4,6.5,7.9,6.42,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-02-28,6.93,6.55,7.95,8.21,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.48,7.14,7.4,6.5,7.56,6.42,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-03-31,6.93,6.55,7.95,8.21,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.48,7.14,7.4,6.5,7.56,6.42,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-04-30,6.93,6.55,7.95,8.21,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.48,7.14,7.4,6.5,7.56,6.42,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-05-31,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.0,7.14,7.4,6.5,7.56,7.25,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-06-30,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.0,7.14,7.4,6.5,7.56,7.25,7.01,7.04,6.61,7.32,6.74,6.79,7.0,7.84
2017-07-31,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,8.09,7.19,7.0,7.14,7.4,6.5,7.56,7.25,7.01,7.04,6.61,7.32,6.74,7.02,7.0,7.86
2017-08-31,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,7.95,7.19,7.0,7.14,7.4,6.5,7.56,7.25,7.01,7.04,6.61,7.32,6.74,7.02,7.0,7.86
2017-09-30,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,7.95,7.19,7.0,7.14,7.4,6.5,7.56,7.25,7.01,7.04,6.61,7.32,6.74,7.02,7.0,7.86
2017-10-31,6.93,6.55,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,7.95,7.19,7.0,7.14,7.4,6.5,7.56,7.25,6.66,7.04,6.61,7.32,6.74,7.02,7.0,7.86
2017-11-30,6.93,6.67,7.95,8.1,6.66,6.98,6.76,6.28,6.72,5.89,6.96,7.57,7.87,5.77,7.95,7.19,7.0,7.14,7.4,6.5,7.56,7.25,6.66,7.04,6.61,7.32,7.49,7.02,7.0,7.86
2017-12-31,7.41,6.67,7.8,8.1,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.0,7.45,7.56,6.36,7.56,7.25,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-01-31,7.41,6.67,7.8,8.1,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.0,7.45,7.56,6.36,7.8,7.25,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-02-28,7.41,6.67,7.8,8.1,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.0,7.45,7.56,6.36,7.8,7.25,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-03-31,7.41,6.67,7.8,8.1,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.0,7.45,7.56,6.36,7.8,7.25,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-04-30,7.41,6.67,7.8,8.1,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.0,7.45,7.56,6.36,7.8,7.31,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-05-31,7.41,6.67,7.8,8.15,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.95,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.66,7.19,6.61,6.9,7.49,7.02,7.23,7.86
2018-06-30,7.41,6.67,7.8,8.15,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.66,7.19,6.61,6.9,7.49,7.08,7.23,7.43
2018-07-31,7.41,6.67,7.8,8.15,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.66,7.19,6.61,6.9,7.49,7.08,7.23,7.43
2018-08-31,7.41,6.67,7.8,8.15,6.92,7.58,6.69,6.24,6.5,6.31,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.66,7.19,6.61,6.9,7.49,7.08,7.23,7.43
2018-09-30,7.41,7.11,7.8,8.15,6.92,7.58,6.69,6.24,6.5,6.69,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.98,7.19,6.61,6.9,7.52,7.08,7.23,7.43
2018-10-31,7.41,7.11,7.73,8.15,6.92,7.58,6.69,6.24,6.5,6.69,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.98,7.19,6.61,6.9,7.52,7.08,7.23,7.43
2018-11-30,7.41,7.11,7.73,8.15,6.92,7.58,6.69,6.24,6.5,6.69,6.72,7.6,7.61,5.73,7.56,7.36,7.17,7.45,7.56,6.36,7.8,7.31,6.98,7.19,6.61,6.9,7.52,7.08,7.23,7.43
2018-12-31,7.39,7.11,7.73,8.15,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.56,7.52,7.17,7.22,7.49,6.24,7.8,7.31,6.98,7.04,6.61,6.79,7.52,7.08,7.56,7.43
2019-01-31,7.39,7.11,7.73,8.15,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.56,7.52,7.17,7.22,7.49,6.24,8.15,7.31,6.98,7.04,6.61,6.79,7.52,7.08,7.56,7.43
2019-02-28,7.39,7.11,7.73,8.15,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.56,7.52,7.17,7.22,7.49,6.24,8.15,7.31,6.98,7.04,6.61,6.79,7.52,7.08,7.56,7.43
2019-03-31,7.39,7.11,7.73,8.15,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.56,7.52,7.17,7.22,7.49,6.24,8.15,7.31,6.98,7.04,6.61,6.79,7.52,7.08,7.56,7.43
2019-04-30,7.39,7.11,7.73,8.15,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.56,7.52,7.17,7.22,7.49,6.24,8.15,7.09,6.98,7.04,6.61,6.79,7.52,7.2,7.56,7.43
2019-05-31,7.39,7.11,7.73,7.91,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,6.98,7.04,6.61,6.79,7.52,7.2,7.56,7.43
2019-06-30,7.39,7.11,7.73,7.91,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,6.98,7.04,6.61,6.79,7.52,7.2,7.56,7.43
2019-07-31,7.39,7.11,7.73,7.91,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,6.98,7.04,6.61,6.79,7.52,7.2,7.56,7.66
2019-08-31,7.39,7.76,7.73,7.91,6.9,7.66,6.26,6.14,7.24,6.69,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,7.54,7.04,6.61,6.79,7.28,7.2,7.56,7.66
2019-09-30,7.39,7.76,7.73,7.91,6.9,7.66,6.26,6.14,7.24,6.62,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,7.54,7.04,6.61,6.79,7.28,7.2,7.56,7.66
2019-10-31,7.39,7.76,7.86,7.91,6.9,7.66,6.26,6.14,7.24,6.62,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,7.54,7.04,6.61,6.79,7.28,7.2,7.56,7.66
2019-11-30,7.39,7.76,7.86,7.91,6.9,7.66,6.26,6.14,7.24,6.62,7.08,7.37,7.81,7.7,7.42,7.52,7.53,7.22,7.49,6.24,8.15,7.09,7.54,7.04,6.61,6.79,7.28,7.2,7.56,7.66
2019-12-31,7.63,7.76,7.86,7.91,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.42,7.67,7.53,7.51,6.33,6.43,8.15,7.09,7.54,7.17,6.61,7.32,7.28,7.2,7.16,7.66
2020-01-31,7.63,7.76,7.86,7.91,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.42,7.67,7.53,7.51,6.33,6.43,8.16,7.09,7.54,7.17,6.61,7.32,7.28,7.2,7.16,7.66
2020-02-29,7.63,7.76,7.86,7.91,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.42,7.67,7.53,7.51,6.33,6.43,8.16,7.09,7.54,7.17,6.61,7.32,7.28,7.2,7.16,7.66
2020-03-31,7.63,7.76,7.86,7.91,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.42,7.67,7.53,7.51,6.33,6.43,8.16,7.09,7.54,7.17,6.61,7.32,7.28,7.2,7.16,7.66
2020-04-30,7.63,7.76,7.86,7.91,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.42,7.67,7.53,7.51,6.33,6.43,8.16,7.09,7.54,7.17,6.61,7.32,7.28,7.17,7.16,7.66
2020-05-31,7.63,7.76,7.86,8.33,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.16,7.67,7.4,7.51,6.33,6.43,8.16,7.36,7.54,7.17,6.61,7.32,7.28,7.17,7.16,7.66
2020-06-30,7.63,7.76,7.86,8.33,7.25,7.51,7.11,6.42,7.42,6.62,7.41,7.55,7.71,7.77,7.16,7.67,7.4,7.51,6.33,6.43,8.16,7.36,7.54,7.17,6.61,7.32,7.28,7.17,7.16,7.66
