,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MA,MCD,MMM,MRK,MSFT,NKE,PG,T,TRV,UNH,WBA,WMT
2016-02-07,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.477671232876711,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-02-14,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.477671232876711,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-02-21,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.477671232876711,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-02-28,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.477671232876711,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-03-06,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-03-13,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-03-20,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-03-27,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.47
2016-04-03,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.9
2016-04-10,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.9
2016-04-17,8.12,7.42,6.02,6.76,7.22,5.29,6.89,7.33,7.18,7.077142857142858,6.22,8.1,6.55,7.14,6.9,7.7,6.69,7.82,6.12,6.89,7.14,7.29,7.61,6.88,7.53,7.4,6.15,7.08,7.56,7.9
